city,state_name,population
Eden Prairie,Minnesota,63249
Parkersburg,West Virginia,63236
Hamilton,Ohio,63124
Moore,Oklahoma,63045
Lakewood,Washington,63034
Bay City,Michigan,62979
Bossier City,Louisiana,62832
Council Bluffs,Iowa,62564
Huntersville,North Carolina,62458
Taylor,Michigan,62405
Hendersonville,Tennessee,62390
Sanford,Florida,62292
La Habra,California,62233
Horizon West,Florida,62152
Dearborn Heights,Michigan,62099
St. Cloud,Florida,61963
Pontiac,Michigan,61914
Richland,Washington,61912
Marietta,Georgia,61773
Florence-Graham,California,61723
Springfield,Oregon,61642
Encinitas,California,61585
Wellington,Florida,61497
Palm Harbor,Florida,61454
Montebello,California,61376
Woodland,California,61256
Bristol,Connecticut,61129
Jupiter,Florida,61097
La Mesa,California,60835
Pico Rivera,California,60821
San Rafael,California,60604
Meriden,Connecticut,60418
Euless,Texas,60373
Parker,Colorado,60115
Revere,Massachusetts,59933
Stonecrest,Georgia,59917
Chapel Hill,North Carolina,59889
White Plains,New York,59818
Gardena,California,59765
Palm Beach Gardens,Florida,59751
Taunton,Massachusetts,59719
Monterey Park,California,59639
West Allis,Wisconsin,59588
Santee,California,59485
North Miami,Florida,59429
Blue Springs,Missouri,59416
Des Plaines,Illinois,59408
Kokomo,Indiana,59375
Petaluma,California,59321
Shoreline,Washington,59280
Medford,Massachusetts,59062
Taylorsville,Utah,59010
Wylie,Texas,58991
Cupertino,California,58886
The Hammocks,Florida,58548
Margate,Florida,58418
Carson City,Nevada,58364
Hoboken,New Jersey,58340
Madison,Alabama,58335
St. Clair Shores,Michigan,58287
St. Peters,Missouri,58200
Midwest City,Oklahoma,58170
Severn,Maryland,58041
Lake Havasu City,Arizona,58037
Lenexa,Kansas,57986
Orland Park,Illinois,57961
Royal Oak,Michigan,57880
Bowie,Maryland,57771
Decatur,Alabama,57760
Bel Air South,Maryland,57702
Towson,Maryland,57683
Casa Grande,Arizona,57590
Coconut Creek,Florida,57587
Kettering,Ohio,57442
Herriman,Utah,57336
Brookhaven,Georgia,57224
Oak Lawn,Illinois,57098
Lacey,Washington,57088
Bartlett,Tennessee,56998
Highland,California,56690
Kannapolis,North Carolina,56470
Fountainebleau,Florida,56453
Fountain Valley,California,56358
Bentonville,Arkansas,56326
Bradenton,Florida,56289
Smyrna,Georgia,56285
Sarasota,Florida,56218
Apopka,Florida,56202
National City,California,55960
DeSoto,Texas,55896
Berwyn,Illinois,55888
New Brunswick,New Jersey,55744
Apple Valley,Minnesota,55696
Mount Prospect,Illinois,55648
Arcadia,California,55550
Southaven,Mississippi,55531
Tigard,Oregon,55395
Perth Amboy,New Jersey,55278
Chicopee,Massachusetts,55213
South Whittier,California,55201
West Haven,Connecticut,55147
Smyrna,Tennessee,55066
Tinley Park,Illinois,55007
Hacienda Heights,California,54956
Beaumont,California,54817
San Jacinto,California,54756
Plainfield,New Jersey,54515
West Sacramento,California,54496
Marana,Arizona,54487
Yucaipa,California,54348
Peabody,Massachusetts,54180
Rocky Mount,North Carolina,54175
Texas City,Texas,54159
Kentwood,Michigan,54114
Manhattan,Kansas,53951
Colton,California,53798
Aspen Hill,Maryland,53752
Diamond Bar,California,53750
Huntington Park,California,53658
Wheaton,Illinois,53453
Pinellas Park,Florida,53423
Aloha,Oregon,53362
Oak Park,Illinois,53315
Minnetonka,Minnesota,53256
Twin Falls,Idaho,53219
Edina,Minnesota,53125
Westchester,Florida,53082
Methuen Town,Massachusetts,53043
Normal,Illinois,52908
Elyria,Ohio,52833
Grand Island,Nebraska,52761
Novato,California,52689
Paramount,California,52546
Kyle,Texas,52439
Placentia,California,52384
Wheaton,Maryland,52172
Kendale Lakes,Florida,52141
Cathedral City,California,52047
Florissant,Missouri,51915
Catalina Foothills,Arizona,51756
West New York,New Jersey,51683
Lincoln,California,51629
Dunwoody,Georgia,51563
Levittown,New York,51557
Palm Desert,California,51551
Mooresville,North Carolina,51447
Little Elm,Texas,51426
Glendora,California,51350
Burien,Washington,51331
Aliso Viejo,California,51320
Summerville,South Carolina,51262
Collierville,Tennessee,51212
Tamiami,Florida,51201
Wake Forest,North Carolina,51199
Hoffman Estates,Illinois,51186
Westfield,Indiana,51109
Columbus,Indiana,51104
Troy,New York,51054
Country Club,Florida,51000
Burleson,Texas,50981
East Honolulu,Hawaii,50961
Levittown,Pennsylvania,50930
Mishawaka,Indiana,50907
Grapevine,Texas,50875
Cuyahoga Falls,Ohio,50864
Delano,California,50835
Enid,Oklahoma,50821
Milford city ,Connecticut,50749
El Dorado Hills,California,50553
Rosemead,California,50340
McLean,Virginia,50232
Lakewood,Ohio,50229
Jeffersonville,Indiana,50176
Draper,Utah,50159
Covina,California,50143
Murray,Utah,49904
Downers Grove,Illinois,49867
Rockwall,Texas,49605
Chesterfield,Missouri,49591
St. Louis Park,Minnesota,49541
Florin,California,49536
Cypress,California,49531
Eagle Mountain,Utah,49514
North Bethesda,Maryland,49498
Azusa,California,49318
Lawrence,Indiana,49284
Coral Gables,Florida,49243
Everett,Massachusetts,49236
Bedford,Texas,49191
Antelope,California,49080
Dublin,Ohio,49031
Portage,Michigan,49015
Biloxi,Mississippi,49011
Titusville,Florida,49004
Euclid,Ohio,48991
Ceres,California,48918
University,Florida,48868
Stillwater,Oklahoma,48818
Leesburg,Virginia,48788
Bothell,Washington,48610
Tuckahoe,Virginia,48610
Cedar Hill,Texas,48547
Poway,California,48515
Cerritos,California,48340
Hilo,Hawaii,48223
Niagara Falls,New York,48198
Fort Pierce,Florida,48094
San Luis Obispo,California,48039
Minot,North Dakota,47922
North Highlands,California,47900
Ocoee,Florida,47885
Roswell,New Mexico,47823
Wilson,North Carolina,47740
Wauwatosa,Wisconsin,47718
Glenview,Illinois,47682
Middletown,Connecticut,47646
