name,city,state,population
Cape Fear Community College,Wilmington,North Carolina,10231
Chattahoochee Technical College,Marietta,Georgia,10229
Texas Tech University Health Sciences Center,Lubbock,Texas,10184
Laredo College,Laredo,Texas,10149
Colorado Mesa University,Grand Junction,Colorado,10137
Aspen University,Denver,Colorado,10113
Erie Community College,Buffalo,New York,10082
John Tyler Community College,Chester,Virginia,10070
Amarillo College,Amarillo,Texas,10034
Normandale Community College,Bloomington,Minnesota,10027
State College Of Florida-Manatee-Sarasota,Bradenton,Florida,10026
Pensacola State College,Pensacola,Florida,10002
Folsom Lake College,Folsom,California,9978
Los Angeles Mission College,Sylmar,California,9947
Suny Buffalo State,Buffalo,New York,9915
University Of Louisiana At Monroe,Monroe,Louisiana,9908
University Of Houston-Clear Lake,Houston,Texas,9873
Triton College,River Grove,Illinois,9862
Eastern Illinois University,Charleston,Illinois,9861
Hudson Valley Community College,Troy,New York,9843
