name;city;state;population
Seminole State College Of Florida;Sanford;Fl;17635
Wichita State University;Wichita;Ks;17612
Cleveland State University;Cleveland;Oh;17600
American University;Washington;Dc;17561
Saint Louis University;Saint Louis;Mo;17516
University Of Vermont;Burlington;Vt;17417
New Mexico State University-Main Campus;Las Cruces;Nm;17389
Western Washington University;Bellingham;Wa;17351
Tulsa Community College;Tulsa;Ok;17348
Saint Louis Community College;Bridgeton;Mo;17233
Modesto Junior College;Modesto;Ca;17222
University Of Denver;Denver;Co;17194
Tufts University;Medford;Ma;17113
University Of Southern Mississippi;Hattiesburg;Ms;17101
Florida Gulf Coast University;Fort Myers;Fl;17084
American Intercontinental University;Chandler;Az;17069
Cuny Lehman College;Bronx;Ny;16943
University Of California-San Francisco;San Francisco;Ca;16914
Wilmington University;New Castle;De;16867
Eastern Kentucky University;Richmond;Ky;16828
Los Angeles Valley College;Valley Glen;Ca;16790
University Of Wisconsin-Oshkosh;Oshkosh;Wi;16731
Cuny Kingsborough Community College;Brooklyn;Ny;16728
Long Island University;Brookville;Ny;16703
University Of South Alabama;Mobile;Al;16692
Indian River State College;Fort Pierce;Fl;16681
University Of Houston-Downtown;Houston;Tx;16610
Rio Hondo College;Whittier;Ca;16576
Florida Southwestern State College;Fort Myers;Fl;16502
University Of North Dakota;Grand Forks;Nd;16446
Fort Hays State University;Hays;Ks;16425
The University Of Texas Health Science Center At Houston;Houston;Tx;16413
Grossmont College;El Cajon;Ca;16406
Minnesota State University-Mankato;Mankato;Mn;16365
East Tennessee State University;Johnson City;Tn;16253
Cypress College;Cypress;Ca;16203
Wake Forest University;Winston-Salem;Nc;16188
Southern Illinois University-Carbondale;Carbondale;Il;16170
Ecpi University;Virginia Beach;Va;16127
Savannah College Of Art And Design;Savannah;Ga;16051
Johnson County Community College;Overland Park;Ks;16048
Case Western Reserve University;Cleveland;Oh;16040
Pace University;New York;Ny;16030
Metropolitan Community College-Kansas City;Kansas City;Mo;15983
University Of Central Oklahoma;Edmond;Ok;15970
Kean University;Union;Nj;15950
Southeastern Louisiana University;Hammond;La;15949
Glendale Community College;Glendale;Az;15926
University Of Maryland-Baltimore County;Baltimore;Md;15909
Nassau Community College;Garden City;Ny;15664
Oakland Community College;Bloomfield Hills;Mi;15662
Los Angeles City College;Los Angeles;Ca;15605
Post University;Waterbury;Ct;15603
San Diego City College;San Diego;Ca;15561
University Of Missouri-St Louis;Saint Louis;Mo;15528
Mt San Jacinto Community College District;San Jacinto;Ca;15396
Eastern Florida State College;Cocoa;Fl;15391
North Dakota State University-Main Campus;Fargo;Nd;15380
Southern Illinois University-Edwardsville;Edwardsville;Il;15303
Tarleton State University;Stephenville;Tx;15301
Cosumnes River College;Sacramento;Ca;15287
Foothill College;Los Altos Hills;Ca;15286
Southern Methodist University;Dallas;Tx;15204
Rutgers University-Newark;Newark;Nj;15191
University Of West Georgia;Carrollton;Ga;15073
Arkansas State University;Jonesboro;Ar;15053
Metropolitan Community College Area;Omaha;Ne;15025
Madison Area Technical College;Madison;Wi;15018
Moorpark College;Moorpark;Ca;15005
Princeton University;Princeton;Nj;14959
Community College Of Allegheny County;Pittsburgh;Pa;14888
Community College Of Philadelphia;Philadelphia;Pa;14837
Community College Of Rhode Island;Warwick;Ri;14821
The University Of West Florida;Pensacola;Fl;14804
Embry-Riddle Aeronautical University-Worldwide;Daytona Beach;Fl;14797
North Carolina A & T State University;Greensboro;Nc;14746
University Of Wyoming;Laramie;Wy;14737
University Of Dayton;Dayton;Oh;14723
Augusta University;Augusta;Ga;14608
Milwaukee Area Technical College;Milwaukee;Wi;14607
Brown University;Providence;Ri;14602
College Of Staten Island Cuny;Staten Island;Ny;14598
Bellevue University;Bellevue;Ne;14569
Delgado Community College;New Orleans;La;14531
Delaware Technical Community College-Terry;Dover;De;14512
Chandler-Gilbert Community College;Chandler;Az;14479
University Of Maryland, Baltimore;Baltimore;Md;14456
Marquette University;Milwaukee;Wi;14361
Stephen F Austin State University;Nacogdoches;Tx;14301
University Of Maine;Orono;Me;14221
Icahn School Of Medicine At Mount Sinai;New York;Ny;14219
Touro College;New York;Ny;14139
Daytona State College;Daytona Beach;Fl;14124
Texas Christian University;Fort Worth;Tx;14068
Western Carolina University;Cullowhee;Nc;14067
Glendale Community College;Glendale;Ca;14045
San Diego Miramar College;San Diego;Ca;14026
Cuny Queensborough Community College;Bayside;Ny;13996
University Of Colorado Colorado Springs;Colorado Springs;Co;13971
Villanova University;Villanova;Pa;13968
Thomas Jefferson University;Philadelphia;Pa;13939
University Of Alaska Anchorage;Anchorage;Ak;13923
Marshall University;Huntington;Wv;13921
Campbellsville University;Campbellsville;Ky;13821
Southern Utah University;Cedar City;Ut;13780
The University Of Tennessee-Chattanooga;Chattanooga;Tn;13754
Santa Fe College;Gainesville;Fl;13753
Miracosta College;Oceanside;Ca;13753
Eastern Washington University;Cheney;Wa;13716
Kirkwood Community College;Cedar Rapids;Ia;13689
Idaho State University;Pocatello;Id;13645
Howard University;Washington;Dc;13635
William Rainey Harper College;Palatine;Il;13604
Valdosta State University;Valdosta;Ga;13567
Pikes Peak Community College;Colorado Springs;Co;13558
Anne Arundel Community College;Arnold;Md;13538
St Philip'S College;San Antonio;Tx;13532
Texas A & M University-Commerce;Commerce;Tx;13510
New Jersey Institute Of Technology;Newark;Nj;13482
Santa Barbara City College;Santa Barbara;Ca;13444
Bellevue College;Bellevue;Wa;13400
College Of The Sequoias;Visalia;Ca;13379
Colorado State University-Global Campus;Aurora;Co;13341
Youngstown State University;Youngstown;Oh;13335
Dixie State University;Saint George;Ut;13327
South Dakota State University;Brookings;Sd;13288
College Of Lake County;Grayslake;Il;13288
University Of Wisconsin-Whitewater;Whitewater;Wi;13246
San Bernardino Valley College;San Bernardino;Ca;13244
Antelope Valley College;Lancaster;Ca;13223
Grand Rapids Community College;Grand Rapids;Mi;13191
University Of Idaho;Moscow;Id;13185
Northcentral University;La Jolla;Ca;13097
Saint Cloud State University;Saint Cloud;Mn;13081
Fox Valley Technical College;Appleton;Wi;13060
Tyler Junior College;Tyler;Tx;13048
California State University-Bakersfield;Bakersfield;Ca;13040
University Of Northern Colorado;Greeley;Co;12990
Prince George'S Community College;Largo;Md;12968
Irvine Valley College;Irvine;Ca;12968
Oklahoma City Community College;Oklahoma City;Ok;12935
Jefferson Community And Technical College;Louisville;Ky;12931
Ozarks Technical Community College;Springfield;Mo;12883
Wright State University-Main Campus;Dayton;Oh;12881
Hofstra University;Hempstead;Ny;12873
Oregon Health & Science University;Portland;Or;12791
California Baptist University;Riverside;Ca;12757
Ferris State University;Big Rapids;Mi;12733
Arapahoe Community College;Littleton;Co;12727
Hinds Community College;Raymond;Ms;12718
Central Washington University;Ellensburg;Wa;12717
Tallahassee Community College;Tallahassee;Fl;12688
Trident Technical College;Charleston;Sc;12684
Georgia Gwinnett College;Lawrenceville;Ga;12641
Chabot College;Hayward;Ca;12626
Citrus College;Glendora;Ca;12619
Indiana State University;Terre Haute;In;12614
Independence University;Salt Lake City;Ut;12602
Northeastern University Lifelong Learning Network;Boston;Ma;12592
Bergen Community College;Paramus;Nj;12569
Northwestern State University Of Louisiana;Natchitoches;La;12460
California State University-Stanislaus;Turlock;Ca;12452
Louisiana Tech University;Ruston;La;12449
Maryville University Of Saint Louis;Saint Louis;Mo;12436
Radford University;Radford;Va;12399
Brandman University;Irvine;Ca;12399
Ventura College;Ventura;Ca;12365
Washtenaw Community College;Ann Arbor;Mi;12355
University Of Wisconsin-Eau Claire;Eau Claire;Wi;12300
Texas A & M University-Corpus Christi;Corpus Christi;Tx;12293
Henry Ford College;Dearborn;Mi;12290
Fayetteville Technical Community College;Fayetteville;Nc;12266
College Of Charleston;Charleston;Sc;12242
Lansing Community College;Lansing;Mi;12207
Central Connecticut State University;New Britain;Ct;12196
Moraine Valley Community College;Palos Hills;Il;12182
Texas State Technical College;Waco;Tx;12178
Bridgewater State University;Bridgewater;Ma;12164
Del Mar College;Corpus Christi;Tx;12096
University Of San Francisco;San Francisco;Ca;12077
The New School;New York;Ny;12064
West Los Angeles College;Culver City;Ca;12061
Golden West College;Huntington Beach;Ca;12031
Guilford Technical Community College;Jamestown;Nc;12017
The University Of Montana;Missoula;Mt;12017
Los Angeles Trade Technical College;Los Angeles;Ca;12014
Arkansas Tech University;Russellville;Ar;11954
Chapman University;Orange;Ca;11951
Suny Empire State College;Saratoga Springs;Ny;11890
University Of Central Arkansas;Conway;Ar;11890
Loyola Marymount University;Los Angeles;Ca;11878
University Of Minnesota-Duluth;Duluth;Mn;11858
Northeast Wisconsin Technical College;Green Bay;Wi;11851
Wayne County Community College District;Detroit;Mi;11826
University Of Wisconsin-La Crosse;La Crosse;Wi;11808
Greenville Technical College;Greenville;Sc;11796
Palo Alto College;San Antonio;Tx;11760
William & Mary;Williamsburg;Va;11750
College Of The Desert;Palm Desert;Ca;11741
Angelo State University;San Angelo;Tx;11732
Joliet Junior College;Joliet;Il;11692
Central Texas College;Killeen;Tx;11681
College Of Western Idaho;Nampa;Id;11643
Pepperdine University;Malibu;Ca;11626
Austin Peay State University;Clarksville;Tn;11626
Coastal Carolina University;Conway;Sc;11621
Seton Hall University;South Orange;Nj;11614
Stark State College;North Canton;Oh;11594
University Of Alabama In Huntsville;Huntsville;Al;11591
Victor Valley College;Victorville;Ca;11577
University Of St Thomas;Saint Paul;Mn;11572
Quinnipiac University;Hamden;Ct;11564
Tennessee Technological University;Cookeville;Tn;11533
William Paterson University Of New Jersey;Wayne;Nj;11518
Park University;Parkville;Mo;11508
Farmingdale State College;Farmingdale;Ny;11492
Monroe Community College;Rochester;Ny;11482
University Of Southern Indiana;Evansville;In;11480
Indiana University Of Pennsylvania-Main Campus;Indiana;Pa;11480
Stockton University;Galloway;Nj;11479
Merced College;Merced;Ca;11476
Saint Leo University;Saint Leo;Fl;11331
Suny Westchester Community College;Valhalla;Ny;11296
Brookdale Community College;Lincroft;Nj;11294
Middlesex County College;Edison;Nj;11266
University Of Northern Iowa;Cedar Falls;Ia;11264
University Of Central Missouri;Warrensburg;Mo;11236
University Of San Diego;San Diego;Ca;11226
Bluegrass Community And Technical College;Lexington;Ky;11216
Lorain County Community College;Elyria;Oh;11208
Southeast Missouri State University;Cape Girardeau;Mo;11205
Rice University;Houston;Tx;11186
Truckee Meadows Community College;Reno;Nv;11172
Regent University;Virginia Beach;Va;11143
Allan Hancock College;Santa Maria;Ca;11085
The University Of Texas At Tyler;Tyler;Tx;11071
